Sheet,Carrier,CurrWeekDepartures,PrevWeekDepartures,DepartureDiff,DepartureDiffPct,Buses.x,Passengers,Buses 2019,Passenger 2019,Load_Factor,Avg_Temp_F,Min_Temp_F,Max_Temp_F,Precip_mm,Snow_mm,Avg_RH_Pct,Avg_Wind_mph,Peak_Gust_mph,Avg_Visibility_mi,Sunny_Hours,Severe_Weather_Flag,HDD_Base65,CDD_Base65,Storm_Count,Holiday_Week.x,Total_Volume,Passenger_Cars,Trucks,Buses.y,Avg_Speed_mph,Incidents,Weather_Impact_Index,Peak_Hour_Volume,Pct_Heavy_Vehicles,Pct_Buses,Holiday_Week.y,WeekStartDate
Dec 14-18,Peter Pan/Bonanza,9,10,-1,-0.1,9,244,44,1048,27.11111111,35.3,28.5,44,0,1,89,12.7,21.1,8,28.8,0,207.9,0,0,0,104192,92708,10615,869,31.1,2,0.59,11024,10.2,0.83,0,14/12/20
Dec 14-18,C & J Bus Lines,1,1,0,0,1,8,3,55,8,35.3,28.5,44,0,1,89,12.7,21.1,8,28.8,0,207.9,0,0,0,104192,92708,10615,869,31.1,2,0.59,11024,10.2,0.83,0,14/12/20
Dec 14-18,HCEE - Community,75,75,0,0,75,1153,295,5504,15.37333333,35.3,28.5,44,0,1,89,12.7,21.1,8,28.8,0,207.9,0,0,0,104192,92708,10615,869,31.1,2,0.59,11024,10.2,0.83,0,14/12/20
Dec 21-25,Academy,31,37,-6,-0.162162162,31,568,113,4152,18.32258065,34.6,25.2,41.3,8,5.1,51,8.9,14.9,4.8,35.9,0,212.8,0,0,0,107454,91505,15008,940,35.3,0,0.41,9960,14,0.88,0,21/12/20
Dec 21-25,Greyhound,40,34,6,0.176470588,40,1072,118,3262,26.8,34.6,25.2,41.3,8,5.1,51,8.9,14.9,4.8,35.9,0,212.8,0,0,0,107454,91505,15008,940,35.3,0,0.41,9960,14,0.88,0,21/12/20
Dec 21-25,Martz,13,13,0,0,13,487,47,1771,37.46153846,34.6,25.2,41.3,8,5.1,51,8.9,14.9,4.8,35.9,0,212.8,0,0,0,107454,91505,15008,940,35.3,0,0.41,9960,14,0.88,0,21/12/20
Dec 21-25,NJ Transit,2125,2039,86,0.042177538,2125,25008,2500,86541,11.76847059,34.6,25.2,41.3,8,5.1,51,8.9,14.9,4.8,35.9,0,212.8,0,0,0,107454,91505,15008,940,35.3,0,0.41,9960,14,0.88,0,21/12/20
Dec 21-25,Lakeland,13,12,1,0.083333333,13,263,75,2819,20.23076923,34.6,25.2,41.3,8,5.1,51,8.9,14.9,4.8,35.9,0,212.8,0,0,0,107454,91505,15008,940,35.3,0,0.41,9960,14,0.88,0,21/12/20
Dec 21-25,Trailways,11,11,0,0,11,249,35,752,22.63636364,34.6,25.2,41.3,8,5.1,51,8.9,14.9,4.8,35.9,0,212.8,0,0,0,107454,91505,15008,940,35.3,0,0.41,9960,14,0.88,0,21/12/20
Dec 21-25,Coach USA,83,83,0,0,83,1475,460,14129,17.77108434,34.6,25.2,41.3,8,5.1,51,8.9,14.9,4.8,35.9,0,212.8,0,0,0,107454,91505,15008,940,35.3,0,0.41,9960,14,0.88,0,21/12/20
Dec 21-25,TransBridge,12,12,0,0,12,340,61,1843,28.33333333,34.6,25.2,41.3,8,5.1,51,8.9,14.9,4.8,35.9,0,212.8,0,0,0,107454,91505,15008,940,35.3,0,0.41,9960,14,0.88,0,21/12/20
Dec 21-25,Peter Pan/Bonanza,9,9,0,0,9,244,44,1048,27.11111111,34.6,25.2,41.3,8,5.1,51,8.9,14.9,4.8,35.9,0,212.8,0,0,0,107454,91505,15008,940,35.3,0,0.41,9960,14,0.88,0,21/12/20
Dec 21-25,C & J Bus Lines,1,1,0,0,1,6,3,55,6,34.6,25.2,41.3,8,5.1,51,8.9,14.9,4.8,35.9,0,212.8,0,0,0,107454,91505,15008,940,35.3,0,0.41,9960,14,0.88,0,21/12/20
Dec 21-25,HCEE - Community,69,75,-6,-0.08,69,1172,295,5504,16.98550725,34.6,25.2,41.3,8,5.1,51,8.9,14.9,4.8,35.9,0,212.8,0,0,0,107454,91505,15008,940,35.3,0,0.41,9960,14,0.88,0,21/12/20
Dec 28-31,Academy,,31,-31,-1,0,0,113,4152,,30.1,22.9,37.9,24.4,6.2,73,5,13.5,8.4,19.5,0,244.3,0,0,0,109874,96310,12567,997,30.9,2,0.5,12719,11.4,0.91,0,28/12/20
Dec 28-31,Greyhound,36,40,-4,-0.1,36,977,118,3262,27.13888889,30.1,22.9,37.9,24.4,6.2,73,5,13.5,8.4,19.5,0,244.3,0,0,0,109874,96310,12567,997,30.9,2,0.5,12719,11.4,0.91,0,28/12/20
Dec 28-31,Martz,13,13,0,0,13,429,47,1771,33,30.1,22.9,37.9,24.4,6.2,73,5,13.5,8.4,19.5,0,244.3,0,0,0,109874,96310,12567,997,30.9,2,0.5,12719,11.4,0.91,0,28/12/20
Dec 28-31,NJ Transit,2001,2125,-124,-0.058352941,2001,22446,2500,86541,11.2173913,30.1,22.9,37.9,24.4,6.2,73,5,13.5,8.4,19.5,0,244.3,0,0,0,109874,96310,12567,997,30.9,2,0.5,12719,11.4,0.91,0,28/12/20
Dec 28-31,Lakeland,12,13,-1,-0.076923077,12,224,75,2819,18.66666667,30.1,22.9,37.9,24.4,6.2,73,5,13.5,8.4,19.5,0,244.3,0,0,0,109874,96310,12567,997,30.9,2,0.5,12719,11.4,0.91,0,28/12/20
Dec 28-31,Trailways,11,11,0,0,11,227,35,752,20.63636364,30.1,22.9,37.9,24.4,6.2,73,5,13.5,8.4,19.5,0,244.3,0,0,0,109874,96310,12567,997,30.9,2,0.5,12719,11.4,0.91,0,28/12/20
Dec 28-31,Coach USA,80,83,-3,-0.036144578,80,1316,460,14129,16.45,30.1,22.9,37.9,24.4,6.2,73,5,13.5,8.4,19.5,0,244.3,0,0,0,109874,96310,12567,997,30.9,2,0.5,12719,11.4,0.91,0,28/12/20
Dec 28-31,TransBridge,12,12,0,0,12,224,61,1843,18.66666667,30.1,22.9,37.9,24.4,6.2,73,5,13.5,8.4,19.5,0,244.3,0,0,0,109874,96310,12567,997,30.9,2,0.5,12719,11.4,0.91,0,28/12/20
Dec 28-31,Peter Pan/Bonanza,10,9,1,0.111111111,10,275,44,1048,27.5,30.1,22.9,37.9,24.4,6.2,73,5,13.5,8.4,19.5,0,244.3,0,0,0,109874,96310,12567,997,30.9,2,0.5,12719,11.4,0.91,0,28/12/20
Dec 28-31,C & J Bus Lines,1,1,0,0,1,6,3,55,6,30.1,22.9,37.9,24.4,6.2,73,5,13.5,8.4,19.5,0,244.3,0,0,0,109874,96310,12567,997,30.9,2,0.5,12719,11.4,0.91,0,28/12/20
Dec 28-31,HCEE - Community,,69,-69,-1,,,295,5504,,30.1,22.9,37.9,24.4,6.2,73,5,13.5,8.4,19.5,0,244.3,0,0,0,109874,96310,12567,997,30.9,2,0.5,12719,11.4,0.91,0,28/12/20
Jan 4-8,Academy,37,37,0,0,37,590,113,4152,15.94594595,30.3,21.9,36.1,12.7,30.5,71,7.7,17.6,9.4,27.3,0,242.9,0,1,0,103822,88314,14023,1485,30.3,2,0.4,12072,13.5,1.43,0,04/01/21
Jan 4-8,Greyhound,34,34,0,-0.014492754,34,900,118,3262,26.47058824,30.3,21.9,36.1,12.7,30.5,71,7.7,17.6,9.4,27.3,0,242.9,0,1,0,103822,88314,14023,1485,30.3,2,0.4,12072,13.5,1.43,0,04/01/21
Jan 4-8,Martz,13,15,-2,-0.161290323,13,456,47,1771,35.07692308,30.3,21.9,36.1,12.7,30.5,71,7.7,17.6,9.4,27.3,0,242.9,0,1,0,103822,88314,14023,1485,30.3,2,0.4,12072,13.5,1.43,0,04/01/21
Jan 4-8,NJ Transit,2146,2153,-7,-0.003482703,2146,25865,2500,86541,12.0526561,30.3,21.9,36.1,12.7,30.5,71,7.7,17.6,9.4,27.3,0,242.9,0,1,0,103822,88314,14023,1485,30.3,2,0.4,12072,13.5,1.43,0,04/01/21
Jan 4-8,Lakeland,12,13,-1,-0.076923077,12,272,75,2819,22.66666667,30.3,21.9,36.1,12.7,30.5,71,7.7,17.6,9.4,27.3,0,242.9,0,1,0,103822,88314,14023,1485,30.3,2,0.4,12072,13.5,1.43,0,04/01/21
Jan 4-8,Trailways,10,11,-1,-0.090909091,10,214,35,752,21.4,30.3,21.9,36.1,12.7,30.5,71,7.7,17.6,9.4,27.3,0,242.9,0,1,0,103822,88314,14023,1485,30.3,2,0.4,12072,13.5,1.43,0,04/01/21
Jan 4-8,Coach USA,83,83,0,0,83,1604,460,14129,19.3253012,30.3,21.9,36.1,12.7,30.5,71,7.7,17.6,9.4,27.3,0,242.9,0,1,0,103822,88314,14023,1485,30.3,2,0.4,12072,13.5,1.43,0,04/01/21
Jan 4-8,TransBridge,12,12,0,0,12,315,61,1843,26.25,30.3,21.9,36.1,12.7,30.5,71,7.7,17.6,9.4,27.3,0,242.9,0,1,0,103822,88314,14023,1485,30.3,2,0.4,12072,13.5,1.43,0,04/01/21
Jan 4-8,Peter Pan/Bonanza,9,13,-4,-0.307692308,9,260,44,1048,28.88888889,30.3,21.9,36.1,12.7,30.5,71,7.7,17.6,9.4,27.3,0,242.9,0,1,0,103822,88314,14023,1485,30.3,2,0.4,12072,13.5,1.43,0,04/01/21
Jan 4-8,HCEE - Community,75,74,1,0.013513514,75,1153,295,5504,15.37333333,30.3,21.9,36.1,12.7,30.5,71,7.7,17.6,9.4,27.3,0,242.9,0,1,0,103822,88314,14023,1485,30.3,2,0.4,12072,13.5,1.43,0,04/01/21
Jan 11-15,Academy,37,37,0,0,37,564,113,4152,15.24324324,36.4,28.4,43.2,6.2,4.2,74,14.1,20.1,9.2,20.7,0,200.2,0,0,0,112592,97281,13701,1610,34,2,0.63,12497,12.2,1.43,0,11/01/21
Jan 11-15,Greyhound,32,34,-2,-0.058823529,32,810,118,3262,25.3125,36.4,28.4,43.2,6.2,4.2,74,14.1,20.1,9.2,20.7,0,200.2,0,0,0,112592,97281,13701,1610,34,2,0.63,12497,12.2,1.43,0,11/01/21
